id;text;group_code;mode_code;category_code;intent_code;difficulty;priority;is_active;lang
a1_001;Jak wygląda obecny krajobraz rynku w tej kategorii?;A;1;GENERAL;prompt;1;70;1;pl
a1_002;Jakie typy rozwiązań są dziś najbardziej rozpowszechnione?;A;1;GENERAL;prompt;3;70;1;pl
a1_003;Jak długo istnieją dominujące rozwiązania na rynku?;A;1;GENERAL;prompt;2;70;1;pl
a1_004;Czy rynek jest raczej stabilny czy w fazie zmian?;A;1;GENERAL;prompt;3;90;1;pl
a1_005;Jak szybko pojawiają się nowe rozwiązania w tej kategorii?;A;1;GENERAL;prompt;2;70;1;pl
a1_006;Jakie trendy są obecnie najbardziej widoczne?;A;1;GENERAL;prompt;3;70;1;pl
a1_007;Jak rynek reaguje na nowe podejścia lub innowacje?;A;1;GENERAL;prompt;2;90;1;pl
a1_008;Jak bardzo rynek jest podzielony na segmenty?;A;1;GENERAL;prompt;2;90;1;pl
a1_009;Jakie grupy klientów są dziś najbardziej aktywne?;A;1;GENERAL;prompt;3;80;1;pl
a1_010;Jak rynek opisuje sam siebie (język branży, narracje)?;A;1;GENERAL;prompt;2;90;1;pl
a1_011;Kim są typowi użytkownicy tego typu rozwiązań?;A;1;GENERAL;prompt;3;50;1;pl
a1_012;Jakie role są zaangażowane w korzystanie z rozwiązania?;A;1;GENERAL;prompt;3;70;1;pl
a1_013;Czy użytkownik końcowy i decydent to ta sama osoba?;A;1;GENERAL;prompt;3;50;1;pl
a1_014;Jakie kompetencje użytkownika są dziś zakładane?;A;1;GENERAL;prompt;3;70;1;pl
a1_015;Jak użytkownicy tra ają na tego typu rozwiązania?;A;1;GENERAL;prompt;2;70;1;pl
a1_016;Jakie zachowania użytkowników są dziś normą?;A;1;GENERAL;prompt;3;70;1;pl
a1_017;Jak użytkownicy uczą się korzystać z rozwiązań?;A;1;GENERAL;prompt;2;70;1;pl
a1_018;Jak użytkownicy adaptują się do ograniczeń istniejących rozwiązań?;A;1;GENERAL;prompt;2;70;1;pl
a1_019;Jak wygląda typowy poziom zaangażowania użytkownika?;A;1;GENERAL;prompt;1;70;1;pl
a1_020;Jak użytkownicy opisują swoje doświadczenia własnymi słowami?;A;1;GENERAL;prompt;2;70;1;pl
a1_021;W jakich sytuacjach użytkownik korzysta z tego rozwiązania?;A;1;GENERAL;prompt;3;70;1;pl
a1_022;Jak często dochodzi do interakcji z rozwiązaniem?;A;1;GENERAL;prompt;2;70;1;pl
a1_023;Jak długo trwa typowe użycie?;A;1;GENERAL;prompt;2;70;1;pl
a1_024;Czy użycie jest zaplanowane czy spontaniczne?;A;1;GENERAL;prompt;3;50;1;pl
a1_025;Jak wygląda początek kontaktu z rozwiązaniem?;A;1;GENERAL;prompt;1;70;1;pl
a1_026;Jak wygląda zakończenie typowej interakcji?;A;1;GENERAL;prompt;1;70;1;pl
a1_027;Jakie kroki są najczęściej powtarzane?;A;1;GENERAL;prompt;3;70;1;pl
a1_028;Jak wygląda korzystanie w warunkach niestandardowych?;A;1;GENERAL;prompt;1;70;1;pl
a1_029;Jak użytkownik radzi sobie z przerwami lub błędami?;A;1;GENERAL;prompt;2;70;1;pl
a1_030;Jak użytkownik wraca do rozwiązania po pierwszym użyciu?;A;1;GENERAL;prompt;2;70;1;pl
a1_031;Jakie inne produkty lub usługi współistnieją z tym rozwiązaniem?;A;1;GENERAL;prompt;3;70;1;pl
a1_032;Z jakimi systemami rozwiązanie jest dziś powiązane?;A;1;GENERAL;prompt;3;70;1;pl
a1_033;Jakie narzędzia są używane równolegle?;A;1;GENERAL;prompt;3;70;1;pl
a1_034;Jakie integracje są powszechnie spotykane?;A;1;GENERAL;prompt;3;70;1;pl
a1_035;Jakie kanały dostępu lub dystrybucji dominują?;A;1;GENERAL;prompt;3;70;1;pl
a1_036;Jakie technologie są uznawane za standard?;A;1;GENERAL;prompt;3;70;1;pl
a1_037;Jakie zależności zewnętrzne są oczywiste dla rynku?;A;1;GENERAL;prompt;3;70;1;pl
a1_038;Jakie elementy spoza produktu wpływają na jego użycie?;A;1;GENERAL;prompt;3;70;1;pl
a1_039;Jak stabilny jest obecny ekosystem?;A;1;GENERAL;prompt;2;70;1;pl
a1_040;Jak rynek reaguje na zmiany w ekosystemie?;A;1;GENERAL;prompt;2;90;1;pl
a1_041;Jak użytkownicy dziś płacą za tego typu rozwiązania?;A;1;GENERAL;prompt;2;70;1;pl
a1_042;Jakie modele cenowe są najczęściej spotykane?;A;1;GENERAL;prompt;3;70;1;pl
a1_043;Jak wygląda typowy proces zakupu?;A;1;GENERAL;prompt;1;70;1;pl
a1_044;Jak długo trwa podjęcie decyzji zakupowej?;A;1;GENERAL;prompt;2;70;1;pl
a1_045;Jakie koszty są dziś powszechnie akceptowane?;A;1;GENERAL;prompt;3;70;1;pl
a1_046;Jakie elementy są uznawane za standard w cenie?;A;1;GENERAL;prompt;3;70;1;pl
a1_047;Jakie elementy są traktowane jako dodatki?;A;1;GENERAL;prompt;2;70;1;pl
a1_048;Jak rynek komunikuje wartość tych rozwiązań?;A;1;GENERAL;prompt;2;90;1;pl
a1_049;Jak użytkownicy porównują cenę do wartości?;A;1;GENERAL;prompt;2;70;1;pl
a1_050;Jakie koszty są „niewidzialne” dla użytkownika?;A;1;GENERAL;prompt;3;70;1;pl
a1_051;Jak użytkownicy opisują tę kategorię własnymi słowami?;A;1;GENERAL;prompt;2;70;1;pl
a1_052;Jakie uproszczenia myślowe są powszechne?;A;1;GENERAL;prompt;3;70;1;pl
a1_053;Jakie porównania lub analogie są często używane?;A;1;GENERAL;prompt;3;70;1;pl
a1_054;Jakie założenia są rzadko kwestionowane?;A;1;GENERAL;prompt;3;70;1;pl
a1_055;Co jest uznawane za „normalne” w tej kategorii?;A;1;GENERAL;prompt;3;50;1;pl
a1_056;Jakie kompromisy są powszechnie akceptowane?;A;1;GENERAL;prompt;3;70;1;pl
a1_057;Jakie oczekiwania wobec tej kategorii są niskie?;A;1;GENERAL;prompt;3;70;1;pl
a1_058;Jakie obietnice rynku są traktowane sceptycznie?;A;1;GENERAL;prompt;2;70;1;pl
a1_059;Jak użytkownicy tłumaczą sobie ograniczenia rozwiązań?;A;1;GENERAL;prompt;2;70;1;pl
a1_060;Jak rynek reaguje na nowe narracje?;A;1;GENERAL;prompt;2;90;1;pl
a1_061;Jakie regulacje prawne dotyczą tej kategorii?;A;1;GENERAL;prompt;3;70;1;pl
a1_062;Jakie normy lub standardy są powszechnie znane?;A;1;GENERAL;prompt;3;70;1;pl
a1_063;Jakie ograniczenia technologiczne są dziś akceptowane?;A;1;GENERAL;prompt;3;70;1;pl
a1_064;Jakie ograniczenia zyczne lub środowiskowe występują?;A;1;GENERAL;prompt;3;70;1;pl
a1_065;Jakie procesy organizacyjne wpływają na użycie rozwiązań?;A;1;GENERAL;prompt;3;70;1;pl
a1_066;Jakie ograniczenia czasowe są typowe?;A;1;GENERAL;prompt;3;70;1;pl
a1_067;Jakie ograniczenia budżetowe są standardem?;A;1;GENERAL;prompt;3;70;1;pl
a1_068;Jakie reguły rynku są niepisane, ale powszechne?;A;1;GENERAL;prompt;3;70;1;pl
a1_069;Jakie wymagania są narzucane przez otoczenie?;A;1;GENERAL;prompt;3;70;1;pl
a1_070;Jak rynek adaptuje się do tych ograniczeń?;A;1;GENERAL;prompt;2;90;1;pl
a1_071;Jakie dane są dziś dostępne użytkownikom?;A;1;GENERAL;prompt;3;70;1;pl
a1_072;Jakie informacje są kluczowe do korzystania z rozwiązania?;A;1;GENERAL;prompt;3;70;1;pl
a1_073;Jak użytkownicy pozyskują potrzebne informacje?;A;1;GENERAL;prompt;2;70;1;pl
a1_074;Jak wiarygodne są dostępne dane?;A;1;GENERAL;prompt;2;70;1;pl
a1_075;Jakie informacje są rozproszone?;A;1;GENERAL;prompt;3;70;1;pl
a1_076;Jakie dane są trudne do zdobycia?;A;1;GENERAL;prompt;3;70;1;pl
a1_077;Jakie luki informacyjne są powszechne?;A;1;GENERAL;prompt;3;70;1;pl
a1_078;Jak użytkownicy radzą sobie z brakiem informacji?;A;1;GENERAL;prompt;2;70;1;pl
a1_079;Jakie informacje są ignorowane lub pomijane?;A;1;GENERAL;prompt;3;70;1;pl
a1_080;Jak dane wpływają na decyzje użytkowników?;A;1;GENERAL;prompt;2;70;1;pl
a1_081;Kto poza użytkownikiem ma wpływ na to rozwiązanie?;A;1;GENERAL;prompt;2;50;1;pl
a1_082;Jakie role decyzyjne są zaangażowane?;A;1;GENERAL;prompt;3;70;1;pl
a1_083;Kto zatwierdza wybór lub użycie rozwiązania?;A;1;GENERAL;prompt;2;50;1;pl
a1_084;Kto ponosi konsekwencje decyzji?;A;1;GENERAL;prompt;2;50;1;pl
a1_085;Jakie działy lub instytucje są pośrednio zaangażowane?;A;1;GENERAL;prompt;3;70;1;pl
a1_086;Jakie interesy różnych stron się tu spotykają?;A;1;GENERAL;prompt;3;70;1;pl
a1_087;Kto może blokować wdrożenie rozwiązania?;A;1;GENERAL;prompt;2;50;1;pl
a1_088;Kto może je przyspieszyć lub ułatwić?;A;1;GENERAL;prompt;2;50;1;pl
a1_089;Jakie relacje między interesariuszami są typowe?;A;1;GENERAL;prompt;3;70;1;pl
a1_090;Jak interesariusze komunikują swoje oczekiwania?;A;1;GENERAL;prompt;2;70;1;pl
a2_001;W których obszarach rynek nie nadąża za rzeczywistymi potrzebami?;A;2;GENERAL;prompt;3;90;1;pl
a2_002;Gdzie rynek oferuje rozwiązania nieadekwatne do problemów?;A;2;GENERAL;prompt;2;90;1;pl
a2_003;Jakie problemy są znane, ale pozostają nierozwiązane?;A;2;GENERAL;prompt;3;90;1;pl
a2_004;Gdzie innowacje są powierzchowne lub pozorne?;A;2;GENERAL;prompt;2;50;1;pl
a2_005;Jakie segmenty rynku są systemowo zaniedbane?;A;2;GENERAL;prompt;3;70;1;pl
a2_006;Gdzie rynek reaguje zbyt wolno na zmiany?;A;2;GENERAL;prompt;2;90;1;pl
a2_007;Jakie sprzeczne sygnały wysyła dziś rynek?;A;2;GENERAL;prompt;3;90;1;pl
a2_008;Gdzie występuje nadmiar podobnych, nieróżniących się rozwiązań?;A;2;GENERAL;prompt;2;50;1;pl
a2_009;Jakie potrzeby są ignorowane, bo są „niewygodne”?;A;2;GENERAL;prompt;3;70;1;pl
a2_010;Gdzie rynek utknął w przestarzałych schematach?;A;2;GENERAL;prompt;2;90;1;pl
a2_011;W jakich sytuacjach użytkownik czuje się zagubiony?;A;2;GENERAL;prompt;3;70;1;pl
a2_012;Gdzie użytkownik musi się dopasować do rozwiązania, zamiast odwrotnie?;A;2;GENERAL;prompt;2;50;1;pl
a2_013;Jakie działania wymagają od użytkownika nadmiernego wysiłku?;A;2;GENERAL;prompt;3;70;1;pl
a2_014;Gdzie użytkownik popełnia błędy nie z własnej winy?;A;2;GENERAL;prompt;2;50;1;pl
a2_015;Jakie oczekiwania użytkownika nie są spełniane?;A;2;GENERAL;prompt;3;70;1;pl
a2_016;W jakich momentach użytkownik traci zaufanie?;A;2;GENERAL;prompt;3;70;1;pl
a2_017;Jakie zachowania użytkownika są wymuszone przez ograniczenia rynku?;A;2;GENERAL;prompt;3;70;1;pl
a2_018;Gdzie użytkownik musi stosować obejścia lub skróty?;A;2;GENERAL;prompt;2;50;1;pl
a2_019;Jakie kompetencje są dziś wymagane niepotrzebnie?;A;2;GENERAL;prompt;3;70;1;pl
a2_020;W których momentach użytkownik rezygnuje lub odkłada działanie?;A;2;GENERAL;prompt;3;50;1;pl
a2_021;Które etapy korzystania są najbardziej problematyczne?;A;2;GENERAL;prompt;3;90;1;pl
a2_022;Gdzie proces użycia jest zbyt złożony?;A;2;GENERAL;prompt;2;50;1;pl
a2_023;Jakie kroki są zbędne, ale nieuniknione?;A;2;GENERAL;prompt;3;70;1;pl
a2_024;W których momentach najczęściej dochodzi do przerwań?;A;2;GENERAL;prompt;3;50;1;pl
